[Frame 0434] time = 0.020s, FPS ~ 50.0
[Frame 0435] time = 0.020s, FPS ~ 48.8
[Frame 0436] time = 0.030s, FPS ~ 33.2
[Frame 0437] time = 0.020s, FPS ~ 48.8
[Frame 0438] time = 0.020s, FPS ~ 50.0
[Frame 0439] time = 0.020s, FPS ~ 50.0
[Frame 0440] time = 0.020s, FPS ~ 50.0
[Frame 0441] time = 0.021s, FPS ~ 48.5
[Frame 0442] time = 0.020s, FPS ~ 50.1
[Frame 0443] time = 0.020s, FPS ~ 49.9
[Frame 0444] time = 0.030s, FPS ~ 32.9
[Frame 0445] time = 0.020s, FPS ~ 50.0
[Frame 0446] time = 0.020s, FPS ~ 48.9
[Frame 0447] time = 0.030s, FPS ~ 33.2
[Frame 0448] time = 0.020s, FPS ~ 49.3
[Frame 0449] time = 0.021s, FPS ~ 48.1
[Frame 0450] time = 0.020s, FPS ~ 49.6
[Frame 0451] time = 0.031s, FPS ~ 32.5
[Frame 0452] time = 0.020s, FPS ~ 49.0
[Frame 0453] time = 0.020s, FPS ~ 50.0
[Frame 0454] time = 0.031s, FPS ~ 32.3
[Frame 0455] time = 0.020s, FPS ~ 50.8
[Frame 0456] time = 0.021s, FPS ~ 47.9
[Frame 0457] time = 0.030s, FPS ~ 32.9
[Frame 0458] time = 0.021s, FPS ~ 48.1
[Frame 0459] time = 0.020s, FPS ~ 49.5
[Frame 0460] time = 0.020s, FPS ~ 50.0
[Frame 0461] time = 0.021s, FPS ~ 48.6
[Frame 0462] time = 0.031s, FPS ~ 32.4
[Frame 0463] time = 0.020s, FPS ~ 50.0
[Frame 0464] time = 0.020s, FPS ~ 49.1
[Frame 0465] time = 0.020s, FPS ~ 49.8
[Frame 0466] time = 0.021s, FPS ~ 48.6
[Frame 0467] time = 0.031s, FPS ~ 32.5
[Frame 0468] time = 0.020s, FPS ~ 49.4
[Frame 0469] time = 0.021s, FPS ~ 48.6
[Frame 0470] time = 0.020s, FPS ~ 49.1
[Frame 0471] time = 0.031s, FPS ~ 31.8
[Frame 0472] time = 0.020s, FPS ~ 50.0
[Frame 0473] time = 0.020s, FPS ~ 49.6
[Frame 0474] time = 0.021s, FPS ~ 48.4
[Frame 0475] time = 0.020s, FPS ~ 49.8
[Frame 0476] time = 0.020s, FPS ~ 49.0
[Frame 0477] time = 0.021s, FPS ~ 48.5
[Frame 0478] time = 0.020s, FPS ~ 49.3
[Frame 0479] time = 0.021s, FPS ~ 48.8
[Frame 0480] time = 0.020s, FPS ~ 49.8
[Frame 0481] time = 0.020s, FPS ~ 49.4
[Frame 0482] time = 0.020s, FPS ~ 49.2
[Frame 0483] time = 0.021s, FPS ~ 48.7
[Frame 0484] time = 0.020s, FPS ~ 49.1
[Frame 0485] time = 0.020s, FPS ~ 49.8
[Frame 0486] time = 0.020s, FPS ~ 50.0
[Frame 0487] time = 0.020s, FPS ~ 50.0
[Frame 0488] time = 0.020s, FPS ~ 49.4
[Frame 0489] time = 0.030s, FPS ~ 33.2
[Frame 0490] time = 0.030s, FPS ~ 33.4
[Frame 0491] time = 0.020s, FPS ~ 50.0
[Frame 0492] time = 0.020s, FPS ~ 49.5
[Frame 0493] time = 0.021s, FPS ~ 48.3
[Frame 0494] time = 0.020s, FPS ~ 49.8
[Frame 0495] time = 0.020s, FPS ~ 49.0
[Frame 0496] time = 0.021s, FPS ~ 48.7
[Frame 0497] time = 0.020s, FPS ~ 49.3
[Frame 0498] time = 0.020s, FPS ~ 49.8
[Frame 0499] time = 0.020s, FPS ~ 50.0
[Frame 0500] time = 0.030s, FPS ~ 33.4
[Frame 0501] time = 0.020s, FPS ~ 49.8
[Frame 0502] time = 0.020s, FPS ~ 49.2
[Frame 0503] time = 0.020s, FPS ~ 50.0
[Frame 0504] time = 0.020s, FPS ~ 49.8
[Frame 0505] time = 0.020s, FPS ~ 50.0
[Frame 0506] time = 0.020s, FPS ~ 49.5
[Frame 0507] time = 0.021s, FPS ~ 48.7
[Frame 0508] time = 0.021s, FPS ~ 48.7
[Frame 0509] time = 0.021s, FPS ~ 47.7
[Frame 0510] time = 0.020s, FPS ~ 49.1
[Frame 0511] time = 0.020s, FPS ~ 49.1
[Frame 0512] time = 0.021s, FPS ~ 48.6
[Frame 0513] time = 0.020s, FPS ~ 49.8
[Frame 0514] time = 0.020s, FPS ~ 50.0
[Frame 0515] time = 0.020s, FPS ~ 50.0
[Frame 0516] time = 0.020s, FPS ~ 49.6
[Frame 0517] time = 0.020s, FPS ~ 49.1
